order_id,customer_id,order_date,total_amount,order_status,delivery_city,delivery_state
38,5158,2026-06-05 17:50:24.480083,3019.24,Cancelled,Tirupati,Tripura
39,1306,2026-05-27 00:51:54.275602,80979.40000000001,Delivered,Etawah,Goa
40,2053,2025-12-31 10:33:00.279445,81880.19,Processing,Haldia,Chhattisgarh
41,4265,2026-06-27 13:03:07.144188,159128.9,Returned,Madanapalle,Arunachal Pradesh
42,9438,2026-02-16 00:46:14.291709,89740.28,Shipped,Allahabad,Punjab
43,1980,2025-08-02 08:56:58.860321,62788.259999999995,Shipped,Rohtak,Tamil Nadu
44,559,2026-02-02 12:00:10.226990,362202.92,Returned,Salem,Assam
45,6920,2026-06-07 22:51:35.914869,47919.92,Delivered,Purnia,Karnataka
46,5519,2026-02-05 21:46:53.640834,65350.93000000001,Returned,Raichur,Punjab
47,5816,2025-11-21 11:47:30.256131,307262.54,Shipped,Vijayanagaram,Punjab
48,9660,2025-07-03 21:36:27.814577,420846.79000000004,Returned,Surat,Goa
49,7186,2026-04-29 01:24:58.851156,260723.86000000002,Delivered,Siwan,Uttar Pradesh
50,8605,2026-02-25 10:47:18.135678,129306.22,Processing,Jamalpur,Goa
51,3452,2026-03-09 16:39:48.935580,269434.2,Shipped,Farrukhabad,Tripura
52,7974,2025-03-29 23:07:39.300693,104137.37000000001,Shipped,Kishanganj,Arunachal Pradesh
53,1739,2025-12-03 00:17:30.409297,189293.15,Delivered,South Dumdum,Haryana
54,9805,2026-06-26 23:53:07.881185,124084.01,Delivered,Bhind,Gujarat
55,7289,2026-06-03 14:55:02.707636,53996.89,Processing,Hospet,Telangana
56,7083,2026-05-10 09:08:29.965636,105325.07,Shipped,Salem,Karnataka
57,1296,2025-12-17 19:34:38.921952,56252.52,Cancelled,Tenali,Jharkhand
58,7430,2024-08-30 02:57:40.251153,126950.42,Cancelled,Bihar Sharif,Maharashtra
59,9146,2026-02-08 08:06:47.026771,21134.699999999997,Cancelled,Vijayawada,Nagaland
60,2243,2026-06-26 04:59:13.593074,139019.62,Processing,Gandhinagar,Uttarakhand
61,8139,2026-03-13 05:43:27.889126,144530.52,Delivered,Avadi,Goa
62,3510,2024-12-21 05:21:32.566818,291812.47,Delivered,Etawah,Kerala
63,4311,2025-09-30 09:26:13.199077,224077.44,Processing,Chinsurah,Odisha
64,4917,2026-03-30 07:31:12.468260,122787.73999999999,Returned,Proddatur,Manipur
65,6426,2025-09-10 21:03:02.975734,56353.56999999999,Processing,Purnia,Haryana
66,7327,2026-06-22 03:11:06.621811,120677.34,Delivered,Kolhapur,Arunachal Pradesh
67,1861,2026-03-06 13:23:43.442053,193745.34000000003,Delivered,Pimpri-Chinchwad,Himachal Pradesh
68,4767,2026-02-24 13:11:40.018208,363066.75,Delivered,Rajahmundry,Bihar
69,7241,2025-04-24 16:37:09.334693,195800.07,Shipped,Berhampur,West Bengal
70,7335,2025-11-13 14:38:07.622243,64636.89,Shipped,Dharmavaram,Tripura
71,5402,2025-11-17 21:55:51.134850,187096.59000000003,Delivered,Alwar,Nagaland
72,807,2026-06-05 08:13:34.481293,98598.91,Processing,Jalandhar,Arunachal Pradesh
73,3758,2025-04-27 14:52:02.997759,93078.28,Delivered,Indore,Jharkhand
74,4075,2026-01-21 12:46:20.385125,35441.91,Delivered,Bihar Sharif,Haryana
75,8217,2026-04-27 07:26:36.943181,211768.6,Shipped,Jehanabad,Kerala
76,4464,2025-01-28 02:46:02.443110,24900.26,Cancelled,Ludhiana,Karnataka
77,4424,2026-01-27 11:44:55.647473,28783.12,Returned,Bongaigaon,Gujarat
78,6806,2026-06-08 04:38:01.244980,35186.01,Delivered,Rampur,Bihar
79,2488,2026-01-17 18:55:51.588956,368075.82999999996,Delivered,Ballia,Mizoram
80,4491,2026-01-29 07:52:39.946797,65784.26999999999,Shipped,Raiganj,Goa
81,6170,2025-08-18 08:14:09.327066,196644.46000000002,Delivered,Bahraich,Rajasthan
82,4008,2026-06-26 07:10:27.017181,57724.86,Shipped,Kumbakonam,Uttar Pradesh
83,8956,2026-03-31 07:43:04.172743,22079.12,Cancelled,Jalna,Sikkim
84,3803,2026-05-23 05:10:15.573491,244933.99,Shipped,Korba,Sikkim
85,1371,2026-04-15 08:54:11.539462,311265.74,Delivered,Shivpuri,Tamil Nadu
86,9284,2026-04-05 13:37:06.346735,24379.46,Returned,Pudukkottai,Kerala
87,5536,2026-03-02 21:12:00.678769,45777.729999999996,Returned,Maheshtala,Uttarakhand
88,92,2026-04-08 01:43:24.930391,95575.81,Delivered,Firozabad,Tamil Nadu
89,5129,2025-03-10 03:13:05.250375,72091.31999999999,Cancelled,Sultan Pur Majra,Bihar
90,1335,2026-05-22 17:17:10.906712,184022.27,Delivered,Ahmedabad,Kerala
91,3234,2025-06-06 22:15:35.942200,65084.38,Shipped,Rampur,Madhya Pradesh
92,8595,2026-01-29 20:16:24.471542,233685.81,Shipped,Panchkula,Maharashtra
93,1927,2025-12-01 18:43:36.429346,250524.47999999998,Shipped,Silchar,Mizoram
94,2719,2026-05-07 08:16:59.381031,247477.56,Delivered,Nellore,Himachal Pradesh
95,9905,2025-04-24 06:15:30.642849,84091.07,Delivered,Mau,Telangana
96,7764,2025-10-10 15:49:21.992574,145181.83,Delivered,Morena,Haryana
97,3075,2026-04-25 18:33:20.479377,65452.38,Delivered,Bihar Sharif,Gujarat
98,1002,2026-05-10 14:41:05.526610,201594.0,Processing,Sri Ganganagar,Arunachal Pradesh
99,232,2026-04-24 12:09:07.870245,182677.14,Delivered,Pali,Maharashtra
100,6608,2024-09-07 21:57:48.987671,257739.4,Delivered,Srikakulam,Himachal Pradesh
101,4308,2025-06-03 04:13:32.339809,64557.06,Processing,Nizamabad,Rajasthan
102,6275,2023-12-25 22:06:09.900646,370112.22,Delivered,Ludhiana,Assam
103,44,2026-05-13 03:00:43.942148,134979.21,Returned,Alappuzha,Tripura
104,2701,2025-01-16 22:34:27.403625,35966.43,Shipped,Rourkela,West Bengal
105,8384,2025-02-01 12:04:01.496836,290596.42,Returned,Vellore,Mizoram
106,6443,2026-05-07 14:40:15.581051,282086.33999999997,Shipped,Avadi,Sikkim
107,9919,2025-07-31 12:38:36.937391,99691.70999999999,Returned,Madurai,Kerala
108,2342,2025-11-23 17:17:32.233875,189792.87,Returned,Phagwara,Mizoram
109,7134,2025-09-15 08:58:56.689235,126491.06,Cancelled,Gandhinagar,Punjab
110,6949,2024-11-08 02:09:17.001120,152673.86,Delivered,Agra,West Bengal
111,92,2026-05-28 11:45:48.700676,69440.02,Processing,Firozabad,Tamil Nadu
112,213,2025-06-03 10:06:44.332575,193023.96,Processing,Jaipur,Nagaland
113,4146,2025-07-02 07:16:34.143525,93932.97,Delivered,Munger,West Bengal
114,7714,2025-10-12 09:15:20.574275,144459.4,Processing,Malegaon,Arunachal Pradesh
115,6055,2026-02-01 21:25:15.816163,301905.06,Delivered,Pallavaram,West Bengal
116,7265,2026-06-28 05:58:48.520957,6078.82,Cancelled,Durgapur,Meghalaya
117,3182,2026-03-18 18:39:04.219396,349438.21,Cancelled,Amravati,Uttarakhand
118,233,2025-10-25 01:05:22.454664,276899.79000000004,Cancelled,Tadipatri,Haryana
119,2828,2025-10-15 04:14:23.890239,84671.88,Shipped,Vadodara,Chhattisgarh
120,8282,2026-04-22 03:04:27.688118,62465.19,Shipped,Karawal Nagar,Bihar
121,9185,2026-04-10 16:15:58.150819,73103.36,Delivered,Jehanabad,Telangana
122,1411,2026-06-12 20:19:04.772032,248327.8,Processing,Gandhidham,Madhya Pradesh
123,330,2026-06-27 21:18:13.313379,88278.85,Returned,Tiruppur,Telangana
124,1332,2026-04-12 12:43:52.235198,96670.26999999999,Cancelled,Pudukkottai,Manipur
125,874,2026-04-13 09:07:33.560802,142729.51,Shipped,Madurai,Uttarakhand
126,3085,2025-06-01 21:30:31.368243,79838.95000000001,Delivered,Muzaffarnagar,Meghalaya
127,1515,2023-09-13 22:21:55.992527,54339.39,Shipped,Suryapet,Uttar Pradesh
128,9589,2025-10-09 17:46:33.418827,190793.88,Shipped,Chandigarh,Rajasthan
129,4730,2026-03-31 18:24:33.317744,215775.84999999998,Delivered,Kollam,West Bengal
130,3453,2024-11-18 11:59:32.039718,73393.4,Delivered,Alwar,Nagaland
131,3055,2026-02-28 01:27:37.699100,78935.46,Shipped,Farrukhabad,Manipur
132,9641,2024-06-20 23:20:39.059772,105832.87,Delivered,Burhanpur,Sikkim
133,7791,2024-09-16 03:58:03.734789,128698.09000000001,Delivered,Hospet,Assam
134,3051,2025-03-20 08:31:07.876156,111992.43,Returned,Nellore,Odisha
135,9437,2026-06-24 13:20:02.782088,201608.72999999998,Cancelled,Allahabad,Punjab
136,6573,2026-03-13 08:48:13.218275,31310.99,Delivered,Vellore,Maharashtra
137,6898,2026-05-30 04:27:49.722180,264268.35,Shipped,Surendranagar Dudhrej,Tamil Nadu
138,4925,2026-01-03 15:51:36.758071,220907.56,Processing,Rajkot,West Bengal
139,2318,2026-03-03 11:22:53.477915,61461.39,Returned,Jabalpur,Kerala
140,2820,2025-05-13 20:32:57.674154,124247.38,Delivered,Arrah,Manipur
141,9099,2025-11-12 15:56:07.159553,105665.14,Returned,Surendranagar Dudhrej,Rajasthan
142,6457,2026-02-08 16:48:37.646603,135960.8,Cancelled,Karaikudi,Arunachal Pradesh
143,1570,2025-12-24 23:14:24.027195,55142.979999999996,Shipped,Satna,Sikkim
144,6957,2025-04-01 23:55:35.059327,226411.31999999998,Processing,Raurkela Industrial Township,Odisha
145,9971,2026-05-11 08:04:20.130899,180516.18,Delivered,Uluberia,Andhra Pradesh
146,9817,2024-09-13 00:12:10.619564,96275.67,Returned,Bathinda,Jharkhand
147,7134,2025-01-23 18:12:06.270308,121461.55,Delivered,Gandhinagar,Punjab
148,7876,2026-04-01 17:19:20.457229,210187.69,Delivered,Berhampur,Kerala
149,1744,2025-12-11 09:07:54.841129,102603.54000000001,Shipped,Khammam,Odisha
150,6627,2024-10-23 15:52:59.897050,35557.84,Returned,Rohtak,Uttarakhand
151,8307,2026-06-07 03:05:06.978733,256017.60000000003,Shipped,Nangloi Jat,Gujarat
152,4238,2026-03-27 07:10:07.850245,55467.64,Cancelled,Hindupur,Odisha
153,7759,2026-02-10 12:51:33.537397,152524.95,Cancelled,Ghaziabad,Karnataka
154,6283,2025-08-20 13:31:22.669209,36084.31,Returned,Mysore,Uttarakhand
155,9670,2025-04-05 23:38:18.619267,141713.24,Delivered,Bihar Sharif,Tripura
156,7615,2025-04-24 22:18:04.518503,93442.5,Delivered,Ramagundam,Madhya Pradesh
157,821,2026-04-01 19:26:43.985639,45394.72,Processing,Bhagalpur,Karnataka
158,2929,2025-11-01 03:24:34.813558,199119.03,Delivered,Phusro,Manipur
159,1830,2025-12-07 20:16:07.555056,126654.15000000001,Delivered,Raurkela Industrial Township,Tripura
160,2872,2026-01-29 16:52:13.599902,301515.49,Delivered,Gurgaon,Andhra Pradesh
161,8578,2026-06-19 00:15:00.691275,166155.59,Processing,Bongaigaon,Nagaland
162,8399,2025-04-06 14:33:27.655732,14886.329999999998,Cancelled,Sambhal,Jharkhand
163,6566,2023-08-09 18:50:43.522610,100163.43,Delivered,Ratlam,Nagaland
164,7102,2026-01-05 01:08:44.254956,70937.21,Delivered,Raichur,Bihar
165,3994,2026-06-18 06:06:55.245038,132268.32,Cancelled,Bhiwandi,Telangana
166,7159,2026-06-08 20:37:02.496418,20264.579999999998,Delivered,Muzaffarpur,Telangana
167,2970,2024-07-23 13:53:54.779535,102020.26,Cancelled,Allahabad,Chhattisgarh
168,4376,2026-04-30 22:08:45.086323,261711.88,Shipped,Kozhikode,Uttarakhand
169,4716,2025-04-19 23:55:08.602837,450165.94999999995,Cancelled,Shimla,Rajasthan
170,5581,2026-05-11 23:40:34.757419,229510.3,Delivered,Gudivada,Arunachal Pradesh
171,8721,2026-05-01 21:28:20.402318,132358.48,Cancelled,Tiruchirappalli,Himachal Pradesh
172,7972,2026-04-03 00:12:59.680378,167848.81,Processing,Malda,Kerala
173,5167,2024-03-15 00:45:26.194706,221505.41,Shipped,Allahabad,Jharkhand
174,384,2026-04-06 18:56:25.897637,228505.27000000002,Returned,Katihar,Uttarakhand
175,9948,2025-06-23 06:45:48.517359,48322.5,Returned,Jamshedpur,Uttarakhand
176,1813,2026-06-25 03:03:31.762445,121745.06,Processing,Aizawl,Assam
177,3568,2026-06-19 00:36:27.062845,223547.12000000002,Shipped,Mango,Himachal Pradesh
178,8776,2026-06-15 19:21:53.363255,45996.43000000001,Processing,Mau,Rajasthan
179,55,2026-04-21 02:03:05.314162,146278.26,Processing,Jodhpur,Arunachal Pradesh
180,6851,2026-02-02 03:51:49.085299,275659.53,Shipped,Agra,Andhra Pradesh
181,9824,2024-11-02 04:41:09.360169,200747.83000000002,Processing,Bhalswa Jahangir Pur,Mizoram
182,1491,2024-11-08 15:25:38.856936,1953.75,Delivered,Katihar,Arunachal Pradesh
183,8378,2026-04-02 13:31:18.364670,49390.33,Returned,Bettiah,Jharkhand
184,7737,2025-01-13 17:57:45.554507,40892.15,Cancelled,Berhampore,Andhra Pradesh
185,7556,2025-02-24 14:40:10.039010,81239.47,Shipped,Rajkot,Madhya Pradesh
186,8196,2024-11-03 05:31:23.613216,12670.77,Cancelled,Nanded,Odisha
187,7573,2023-11-02 09:50:36.856439,69555.42,Cancelled,Hosur,Mizoram
188,8516,2026-03-24 03:51:17.289745,286854.22,Shipped,Anantapuram,Mizoram
189,8752,2024-10-17 16:23:49.970024,25026.56,Cancelled,Gorakhpur,Jharkhand
190,6528,2026-05-24 10:13:27.745276,39529.36,Returned,Mysore,Assam
191,7210,2026-05-12 10:47:56.957892,35213.2,Shipped,Anand,Andhra Pradesh
192,9500,2025-09-29 18:07:52.497947,10735.61,Returned,Satna,Arunachal Pradesh
193,5568,2025-08-12 22:29:40.865327,176428.18,Delivered,Coimbatore,Karnataka
194,1214,2024-10-20 18:03:35.187581,116308.41,Shipped,Ludhiana,Gujarat
195,7379,2026-05-21 15:00:34.415429,42070.45,Cancelled,Adoni,Chhattisgarh
196,426,2026-04-05 03:01:37.895450,194945.19,Delivered,Baranagar,Rajasthan
197,4993,2025-12-10 14:47:13.182778,203918.73,Shipped,Vijayanagaram,Odisha
198,6296,2023-12-19 17:48:54.133777,99089.76000000001,Delivered,Navi Mumbai,Tripura
199,198,2025-04-21 11:11:45.396145,156754.59000000003,Delivered,Saharsa,Rajasthan
200,2792,2025-07-07 06:05:06.204294,64147.68,Delivered,Solapur,Telangana
201,7951,2026-04-08 08:39:36.750185,62497.44,Cancelled,Bhilai,Kerala
202,1061,2025-07-25 10:05:08.870501,52553.56,Delivered,Hindupur,Uttar Pradesh
203,1960,2026-06-13 00:25:09.023480,173327.05,Cancelled,Surat,Tripura
204,8588,2025-12-06 08:19:48.726965,67226.88,Delivered,Raipur,Bihar
205,8314,2025-12-14 17:42:36.133797,197365.86000000002,Delivered,Vijayawada,Andhra Pradesh
206,9285,2024-06-06 10:33:29.049305,155357.37,Processing,Gaya,Tamil Nadu
207,4016,2026-05-31 21:24:26.207498,264569.26,Delivered,Bulandshahr,Himachal Pradesh
208,1044,2025-10-25 08:46:33.472458,175362.75,Delivered,Chandigarh,Kerala
209,837,2025-11-16 06:26:04.965007,65996.58,Delivered,Bhubaneswar,Himachal Pradesh
210,1367,2026-03-22 00:18:51.667652,61531.829999999994,Shipped,Siwan,Sikkim
211,4915,2026-05-20 19:35:05.261315,16498.22,Processing,Tiruchirappalli,West Bengal
212,7253,2025-12-27 13:38:15.121693,104149.22,Returned,Dehradun,Tripura
213,6672,2026-06-26 23:48:23.768024,211420.05,Processing,Jalna,Telangana
214,4910,2026-03-24 02:03:14.270923,280664.31,Delivered,Noida,Arunachal Pradesh
215,107,2026-02-22 17:48:01.053729,247970.37,Delivered,Bilaspur,Madhya Pradesh
216,8825,2026-05-13 04:50:12.894304,72374.75,Returned,Dhanbad,Tripura
217,8222,2025-01-08 11:55:02.004049,158438.52,Delivered,Pimpri-Chinchwad,Mizoram
218,9356,2026-03-08 14:27:17.607075,61918.81,Cancelled,Bhopal,Tamil Nadu
219,2575,2026-04-19 13:05:54.252597,283079.72,Delivered,Shimla,Kerala
220,4975,2026-06-26 02:35:27.130462,78698.44,Delivered,Morbi,Assam
221,5047,2025-05-30 01:47:09.429067,185734.09999999998,Shipped,Jabalpur,Nagaland
222,4493,2024-12-05 10:04:36.466360,195925.38,Delivered,Lucknow,Uttarakhand
223,6120,2026-06-25 03:30:20.304049,288086.04,Delivered,Bongaigaon,Andhra Pradesh
224,3523,2025-04-04 20:07:03.584402,327488.35,Processing,Hosur,Uttar Pradesh
225,754,2025-05-28 03:17:34.593650,230746.76,Returned,Guna,Sikkim
226,920,2025-09-16 09:07:37.753127,71359.89,Cancelled,Phusro,Odisha
227,1213,2025-07-02 13:34:08.831179,52211.67,Delivered,Jaipur,Karnataka
228,7181,2026-01-09 17:56:28.729763,199004.1,Delivered,Loni,Uttarakhand
229,4775,2026-06-09 04:26:32.120124,6155.99,Cancelled,Bokaro,Jharkhand
230,5919,2025-01-25 16:09:37.572284,118128.20000000001,Returned,Gurgaon,Tripura
231,4244,2026-05-12 08:37:06.648628,254824.71000000002,Delivered,Katni,Kerala
232,8658,2025-11-06 23:15:41.421166,432586.94999999995,Delivered,Kolkata,Sikkim
233,9418,2025-09-09 21:02:47.939131,15205.51,Delivered,Morena,Andhra Pradesh
234,9148,2025-10-07 08:28:08.250096,19282.75,Returned,Tadipatri,Jharkhand
235,1438,2025-11-09 12:15:13.193204,245040.74999999997,Processing,Korba,Sikkim
236,2494,2025-11-29 03:38:04.501400,125509.65,Cancelled,Agra,Andhra Pradesh
237,352,2026-01-14 22:18:38.104148,107997.18,Shipped,Visakhapatnam,Uttarakhand
238,3652,2026-06-19 09:20:20.670519,248370.68,Processing,Eluru,Haryana
239,9452,2025-08-14 23:42:16.778203,48908.47,Delivered,Jodhpur,Mizoram
240,430,2025-03-07 19:29:15.776577,255030.38,Processing,Jaipur,Odisha
241,3422,2024-11-14 11:46:05.290319,121523.79000000001,Delivered,Bareilly,Sikkim
242,2250,2024-06-15 04:16:40.688246,63520.82,Shipped,Amaravati,Tamil Nadu
243,3418,2026-03-26 22:34:49.117500,63461.94,Shipped,Bardhaman,Uttar Pradesh
244,3370,2026-03-24 16:09:45.492054,236940.8,Returned,Singrauli,Mizoram
245,3435,2026-03-14 08:08:57.413627,346646.01,Delivered,Nadiad,Goa
246,8306,2025-11-21 02:50:36.439529,75715.22,Delivered,Guntur,Manipur
247,1640,2026-06-17 04:16:11.639911,151908.59,Delivered,Raebareli,Sikkim
248,1384,2026-04-21 04:10:34.628421,241660.12,Cancelled,Belgaum,Andhra Pradesh
249,4080,2025-09-23 00:00:00.762540,196909.16999999998,Delivered,Tezpur,Uttar Pradesh
250,4802,2025-11-07 10:22:56.868609,129926.95000000001,Delivered,Mahbubnagar,Haryana
251,1793,2026-05-22 14:08:46.136767,117226.16,Returned,Pimpri-Chinchwad,Karnataka
252,6115,2026-02-17 11:07:47.212120,88238.89,Returned,Bathinda,Goa
253,2365,2026-06-02 10:23:50.733959,49814.92,Shipped,Vadodara,Assam
254,8605,2026-02-22 20:51:20.472972,47823.200000000004,Delivered,Jamalpur,Goa
255,1087,2026-02-13 08:25:41.211872,163228.23,Delivered,Motihari,Goa
256,7803,2025-11-23 14:13:20.586354,143945.13999999998,Shipped,Vijayanagaram,Odisha
257,8075,2026-05-17 18:24:01.033840,274051.48,Cancelled,Surat,Haryana
258,1725,2026-03-27 06:17:57.236304,173165.34999999998,Delivered,Meerut,Sikkim
259,7572,2025-12-11 18:16:25.366560,321816.07,Cancelled,Salem,Assam
260,561,2024-09-16 00:13:43.575629,206491.6,Cancelled,Nizamabad,Kerala
261,6501,2024-04-16 15:48:24.455617,30946.6,Delivered,Allahabad,Assam
262,5635,2026-06-12 10:20:46.792720,360266.78,Delivered,Bettiah,Odisha
263,8430,2026-01-01 01:38:05.924304,69924.59,Delivered,Dindigul,Himachal Pradesh
264,1582,2025-11-10 14:53:28.889441,243873.7,Cancelled,Bihar Sharif,Assam
265,2069,2026-06-09 15:27:17.428987,70569.46,Delivered,Bidhannagar,Nagaland
266,4845,2024-09-24 13:54:24.929910,87719.69,Delivered,Aligarh,Odisha
267,6514,2026-03-09 14:39:26.993387,373313.91,Returned,Surat,Arunachal Pradesh
268,2487,2026-01-13 13:05:57.201830,479780.55,Processing,Chandigarh,Rajasthan
269,2601,2026-05-08 13:29:25.258333,204875.58000000002,Delivered,Gangtok,Uttar Pradesh
270,2492,2026-03-09 17:46:07.482184,179149.52999999997,Processing,Bhilai,Andhra Pradesh
271,7808,2025-05-22 13:04:51.162508,173361.55,Shipped,Faridabad,Uttarakhand
272,9106,2026-05-10 21:24:42.751572,290953.12,Cancelled,Latur,Uttar Pradesh
273,2356,2025-12-10 14:42:25.052390,50890.43,Shipped,Erode,Mizoram
274,9690,2025-11-22 02:43:01.776184,98186.78,Delivered,Solapur,West Bengal
275,6578,2025-06-08 15:07:44.775968,316682.26,Delivered,Anand,Himachal Pradesh
276,1922,2024-03-23 16:54:38.344616,231149.2,Processing,Meerut,Bihar
277,7181,2024-08-29 12:06:51.386458,62448.600000000006,Delivered,Loni,Uttarakhand
278,2518,2025-06-15 17:35:00.441851,109977.05,Delivered,Bulandshahr,Mizoram
279,7644,2025-01-23 20:15:58.528674,152247.33,Shipped,Mathura,Karnataka
280,5941,2025-11-22 10:40:28.481757,298402.81,Delivered,Bahraich,Mizoram
281,4520,2026-04-06 06:32:27.854875,205275.12999999998,Delivered,Alappuzha,Uttar Pradesh
282,8110,2025-06-06 22:49:58.377941,252305.94,Delivered,Jammu,Assam
283,8503,2025-10-06 06:52:40.080917,257164.85,Returned,Loni,Uttar Pradesh
284,1925,2025-06-16 22:24:30.754589,251888.66999999998,Returned,Bokaro,Tamil Nadu
285,6452,2026-03-22 20:33:45.088882,111002.01,Cancelled,Thanjavur,West Bengal
286,8565,2026-05-15 11:44:30.330765,145361.52,Delivered,Pallavaram,Manipur
287,5390,2025-09-22 00:26:36.398422,78012.4,Delivered,Dewas,Tamil Nadu
288,5637,2024-12-23 12:26:15.691223,24839.53,Delivered,Ludhiana,Sikkim
289,4312,2025-05-08 17:20:02.572003,151895.15999999997,Returned,Siwan,Jharkhand
290,6576,2026-04-23 19:23:11.199500,38211.7,Returned,Raebareli,Sikkim
291,8819,2025-06-15 21:34:15.203684,152704.35,Cancelled,Solapur,Uttarakhand
292,8147,2025-11-01 16:29:24.239938,77343.6,Cancelled,Jaunpur,Himachal Pradesh
293,5522,2026-01-18 15:57:51.262146,124016.10999999999,Returned,Kishanganj,Gujarat
294,9533,2025-11-25 05:08:13.479959,324067.05000000005,Delivered,Jalgaon,Himachal Pradesh
295,1530,2024-08-03 12:15:29.505602,382953.70999999996,Delivered,Udaipur,Chhattisgarh
296,6312,2024-08-30 21:59:52.583254,170874.44999999998,Delivered,Nanded,Jharkhand
297,669,2026-06-21 19:50:22.008813,237892.53,Delivered,Ulhasnagar,Chhattisgarh
298,3539,2025-04-04 20:21:31.888586,5139.42,Delivered,Hospet,Uttarakhand
299,7918,2026-03-24 19:03:42.702837,187982.55,Returned,Raiganj,Jharkhand
300,9429,2026-03-06 22:27:44.421484,91314.54,Shipped,Karaikudi,Madhya Pradesh
301,3846,2025-06-22 06:44:51.461163,334235.74,Delivered,Ranchi,Maharashtra
302,1584,2025-08-07 00:01:22.953891,405794.05,Returned,Phusro,Sikkim
303,3670,2026-04-08 13:56:36.924999,117497.53000000001,Shipped,Nashik,Sikkim
304,1060,2024-02-29 15:57:56.466560,77402.84,Delivered,Bhiwani,Madhya Pradesh
305,943,2025-02-09 18:13:21.939317,251877.47999999998,Delivered,Guntur,Chhattisgarh
306,4129,2026-06-24 11:20:52.044561,137891.63999999998,Cancelled,Bardhaman,Uttar Pradesh
307,2185,2026-01-08 20:59:15.379219,130061.31,Shipped,Bahraich,Manipur
308,3811,2025-02-10 14:32:28.923618,304962.61,Processing,Alwar,Jharkhand
309,5872,2026-05-07 15:15:53.356249,25975.0,Processing,Karawal Nagar,Nagaland
310,8680,2025-09-22 13:34:52.375658,116384.38,Shipped,Amravati,West Bengal
311,2970,2024-09-20 18:10:45.012965,131093.74,Delivered,Allahabad,Chhattisgarh
